stud_ID,name,exam_1,exam_2,exam_3,notes,letter_grade
8be3e7,Howard Morgan,93,88,58,missed class frequently -10,C
3a3788,Shawn Davis,94,68,74,missed homework frequently -10,C
92766b,Chris Williams,90,92,85,missed class frequently -10,C
94c5d9,Eric Henderson,87,90,93,great final presentation +10,A
d0cde7,Jesse Rodriguez,67,68,93,missed class frequently -10,C
60c977,Emily Simmons,66,62,88,great participation +10,B
de2a50,Douglas Jones,96,82,87,great participation +10,A
750e0c,Arthur Flores,88,88,88,great participation +10,D
6bcef7,Adam Price,95,80,82,great participation +10,A
88e509,Helen Bryant,87,87,92,great final presentation +10,A
d4d286,Brenda Robinson,32,85,95,"cheated on exam, gets 0pts",D
1935a9,Janet Harris,79,88,82,missed homework frequently -10,C
8d904d,Cheryl Taylor,75,75,77,missed homework frequently -10,D
fd3ffd,Shirley Lee,1,66,77,"cheated on exam, gets 0pts",F
7b4691,Paul Kelly,88,86,88,great participation +10,A
11b8ff,Denise Alexander,87,85,86,great participation +10,A
91a8a9,Marie Diaz,87,79,91,great final presentation +10,A
a49ad1,Stephen Turner,81,3,71,"cheated on exam, gets 0pts",F
f47dcb,Samuel Phillips,73,0,69,"cheated on exam, gets 0pts",F
6d3ee0,Carol Bennett,81,83,68,missed class frequently -10,B
1803b9,Patrick Stewart,83,11,80,"cheated on exam, gets 0pts",F
309b2f,Charles Jackson,72,71,80,missed homework frequently -10,C
7c4cbf,Carl Reed,76,80,92,missed class frequently -10,B
8d40bc,Irene Gray,75,68,101,missed homework frequently -10,C
659a12,Jimmy Hall,62,70,98,missed homework frequently -10,A
029d64,Russell Roberts,74,74,80,great final presentation +10,C
96968e,Amanda Smith,79,80,88,great final presentation +10,A
20c609,Harold Anderson,67,76,70,missed class frequently -10,B
a72acb,Catherine Patterson,75,75,104,missed homework frequently -10,D
0db4eb,Bobby Bell,76,77,84,missed homework frequently -10,D
26e0d9,Johnny Scott,90,86,85,great final presentation +10,A
4017cd,Barbara Young,0,87,87,"cheated on exam, gets 0pts",D
78c144,Carlos Watson,74,73,69,missed class frequently -10,D
c111d6,William Walker,91,92,93,missed homework frequently -10,D
fd0fb9,Ronald Rogers,64,77,80,great final presentation +10,C
4ce31f,Donald Cook,0,67,76,"cheated on exam, gets 0pts",F
1ee4df,Jane Griffin,90,82,93,great participation +10,A
fa106f,Lisa White,79,71,89,great participation +10,B
dc4333,Brandon Hill,82,0,75,"cheated on exam, gets 0pts",F
b9822e,Michelle Allen,90,81,83,great final presentation +10,B
42155a,Rebecca Jenkins,77,71,68,missed homework frequently -10,C
bee970,Wanda Cox,92,96,91,great participation +10,A
de3e1a,Norma Perry,78,84,82,great final presentation +10,B
7dee0e,Joe Brown,84,77,74,missed homework frequently -10,C
1db3ff,Juan Murphy,91,90,81,great final presentation +10,B
eb1eab,Ralph Campbell,80,81,88,missed class frequently -10,C
412771,Jose Evans,72,4,75,"cheated on exam, gets 0pts",F
d030b5,Anne Hernandez,87,0,90,"cheated on exam, gets 0pts",D
4787de,Matthew Green,81,84,75,missed homework frequently -10,B
b3a1a5,Katherine Sanders,25,80,90,"cheated on exam, gets 0pts",D
796fae,Teresa Cooper,81,80,82,great participation +10,C
579cc4,Eugene Ross,73,87,88,great final presentation +10,C
06a637,George Gonzales,81,86,84,missed class frequently -10,C
1f5e9f,Christina Mitchell,84,90,79,missed homework frequently -10,B
e82412,Nicole Moore,88,89,76,missed homework frequently -10,B
155c8b,Frank Foster,1,70,84,"cheated on exam, gets 0pts",F
a0b792,Craig Russell,87,88,81,great participation +10,B
c42464,Ruby Bailey,73,10,75,"cheated on exam, gets 0pts",F
569c21,Jennifer King,81,82,92,missed class frequently -10,B
a3f0e3,Diane Edwards,85,85,61,missed homework frequently -10,B
77ddb9,Todd James,94,90,90,great final presentation +10,A
5e06b1,Terry Rivera,77,88,90,great participation +10,A
018bff,John Nelson,78,54,80,great final presentation +10,A
f24115,Susan Thompson,76,81,82,great participation +10,A
f549d6,Beverly Ramirez,80,87,84,great participation +10,D
9f0216,Kathy Sanchez,91,82,84,great final presentation +10,B
182f74,Benjamin Wood,6,77,90,"cheated on exam, gets 0pts",D
2a88bb,Edward Butler,87,91,78,missed homework frequently -10,B
f68c58,Louise Adams,83,81,72,missed class frequently -10,B
dccc8c,Steven Carter,81,87,84,great final presentation +10,B
6aace8,Scott Wright,80,83,92,missed class frequently -10,C
b859c5,Sarah Johnson,94,80,90,great participation +10,B
04b16b,Andrew Perez,74,83,68,missed class frequently -10,C
2caa08,Nicholas Richardson,89,69,77,"cheated on exam, gets 0pts",A
e330a0,Alan Torres,83,72,64,missed class frequently -10,B
fd8db2,Victor Washington,83,74,71,missed class frequently -10,D
f8ca91,Sharon Collins,91,0,87,"cheated on exam, gets 0pts",D
303db0,Lawrence Martin,90,82,90,great final presentation +10,B
513201,Ernest Brooks,66,77,87,missed homework frequently -10,C
579581,Angela Howard,93,80,83,great final presentation +10,B
e1ac6f,Sandra Long,86,71,77,missed homework frequently -10,B
244ea8,Phyllis Morris,84,0,69,"cheated on exam, gets 0pts",F
0e31d4,Dorothy Lewis,92,77,94,great participation +10,B
e09d9b,Sara Wilson,79,79,73,missed homework frequently -10,B
0e4f01,Diana Gonzalez,89,93,73,missed class frequently -10,B
fe7277,Jack Barnes,83,0,96,"cheated on exam, gets 0pts",B
d77a5c,Mary Clark,84,70,71,missed homework frequently -10,C
e6ac34,Gary Lopez,85,82,76,missed class frequently -10,B
464aab,Tammy Peterson,80,74,73,missed homework frequently -10,D
df28ca,Karen Campbell,81,76,74,missed homework frequently -10,B
fc55c3,Jerry Carter,65,89,91,great final presentation +10,A
be1471,Wanda Henderson,86,87,86,great participation +10,A
c39ac7,Randy Watson,84,80,62,missed class frequently -10,C
0a420f,Robert Lee,71,78,86,missed homework frequently -10,C
22daa1,Harry Martin,90,71,89,great final presentation +10,B
848c64,Rebecca Richardson,76,70,71,missed homework frequently -10,D
85b1fe,Ronald Evans,83,79,79,missed homework frequently -10,D
8804a1,Judith Simmons,65,86,80,missed homework frequently -10,C
405989,Melissa Jackson,80,76,76,missed class frequently -10,B
aef92a,Jacqueline White,84,76,75,missed class frequently -10,D
592043,Jane Green,88,78,82,great participation +10,A
d5deef,Beverly Moore,45,24,77,"cheated on exam, gets 0pts",F
1f2870,Walter Jones,84,75,79,missed class frequently -10,B
a80ea8,Patricia Murphy,81,82,91,great final presentation +10,A
bfcb37,Brian Coleman,98,71,68,missed homework frequently -10,C
4065e7,Julie Collins,90,83,91,great participation +10,A
40e901,Jennifer Thomas,68,88,76,missed homework frequently -10,C
3c4cbb,Elizabeth Allen,97,66,72,missed homework frequently -10,C
a492e7,Martin Hall,92,79,92,great final presentation +10,B
c23a96,Janice Hughes,78,79,71,missed homework frequently -10,D
1d3d52,Maria Hill,90,80,94,great participation +10,A
7844d1,George Sanchez,91,77,78,missed homework frequently -10,C
dda6c7,Bobby Wood,92,87,90,great final presentation +10,A
0c3423,Kevin Walker,95,86,78,great final presentation +10,B
844a91,Jason Harris,85,77,72,missed homework frequently -10,D
5a3ede,Teresa Edwards,78,87,66,missed homework frequently -10,D
28e939,Raymond Davis,87,93,89,great final presentation +10,A
060618,Barbara James,70,82,74,missed homework frequently -10,D
813385,Mark Hernandez,88,61,81,missed homework frequently -10,C
e9b754,Aaron Rogers,74,82,84,great final presentation +10,A
f17261,Timothy Foster,80,74,76,great participation +10,B
3ea346,Christina Young,6,89,87,"cheated on exam, gets 0pts",D
77bf3d,Douglas Ross,89,91,77,missed class frequently -10,C
b3b4e4,Ann Ward,76,79,68,missed homework frequently -10,F
6520ae,Arthur Lopez,85,89,93,great participation +10,A
80cf8a,Richard Russell,65,88,86,missed class frequently -10,B
5e4339,Roger Parker,90,84,86,great participation +10,A
8c385b,Louise Morris,97,77,72,missed homework frequently -10,C
a38243,Ashley Wilson,74,72,72,missed class frequently -10,B
95c45e,Adam Brooks,93,88,71,missed class frequently -10,B
be9274,Katherine Turner,76,84,92,great final presentation +10,B
60f3b4,Emily Garcia,86,77,72,missed class frequently -10,C
213b34,Kathryn Rivera,87,87,90,missed homework frequently -10,C
f2144b,Jean Bryant,104,90,89,great participation +10,A
c97ec4,Craig Taylor,90,75,90,great participation +10,A
9486df,Jonathan Cooper,92,92,84,missed homework frequently -10,B
36284d,Shawn Ramirez,82,65,87,great final presentation +10,B
41d2ec,Sandra Gonzales,88,64,80,missed homework frequently -10,C
84aabd,Alice King,95,92,85,great participation +10,A
57a7d7,Jeremy Morgan,79,83,90,great final presentation +10,A
8b81cc,Peter Washington,90,76,84,great final presentation +10,A
aab213,Albert Johnson,89,101,90,great final presentation +10,A
655f56,Sara Thompson,73,79,75,missed homework frequently -10,D
76c083,Joseph Reed,90,91,78,missed homework frequently -10,B
fdcc94,Theresa Sanders,82,94,84,missed class frequently -10,B
5b2f76,Justin Bennett,77,79,78,missed homework frequently -10,B
bacc99,Julia Diaz,74,79,92,great participation +10,A
6d25c7,Benjamin Bailey,88,86,87,great final presentation +10,A
c4e180,Laura Wright,57,64,79,missed homework frequently -10,F
1c6561,Marilyn Martinez,77,73,67,missed class frequently -10,D
b2b1d4,Matthew Long,84,74,67,missed homework frequently -10,D
919291,Michelle Cook,94,87,88,missed class frequently -10,C
9d3aa8,Amy Barnes,87,92,87,great participation +10,A
e86e4c,Earl Flores,76,85,86,missed class frequently -10,B
dacfb9,Brandon Jenkins,65,84,73,great final presentation +10,C
56cc4f,Eric Howard,81,72,69,missed class frequently -10,D
25d4ad,Victor Miller,89,80,91,great final presentation +10,A
193408,Jessica Gonzalez,86,72,74,missed class frequently -10,D
b2a3ca,Margaret Lewis,86,79,83,great participation +10,C
363a3f,Nicholas Robinson,63,76,83,missed homework frequently -10,C
31d114,Donald Butler,80,66,81,missed homework frequently -10,B
c80059,Christine Peterson,81,81,81,great final presentation +10,A
4ec774,Tina Perry,82,83,82,great participation +10,B
cd52b5,Deborah Gray,69,87,71,missed homework frequently -10,C
79d007,Larry Bell,85,91,86,missed class frequently -10,B
25ca30,Marie Alexander,72,80,87,great final presentation +10,A
bc18ee,Susan Griffin,89,5,91,"cheated on exam, gets 0pts",D
7af92f,Paula Powell,72,76,72,missed homework frequently -10,F
d6db38,Judy Roberts,85,85,80,missed class frequently -10,C
514b4e,Sean Mitchell,-1,71,77,"cheated on exam, gets 0pts",F
c33c21,Keith Clark,61,76,84,missed homework frequently -10,C
f0caf4,Evelyn Nelson,92,83,90,great final presentation +10,A
4faf00,Anna Patterson,92,86,91,great participation +10,A
df0368,Sharon Rodriguez,88,85,74,missed homework frequently -10,C
c8ef2c,John Perez,5,77,83,"cheated on exam, gets 0pts",F
a3b392,Norma Price,84,85,83,great final presentation +10,D
ff5692,Lillian Baker,5,64,85,"cheated on exam, gets 0pts",F
e79b6e,Jeffrey Adams,83,67,86,great participation +10,B
a0da76,Clarence Phillips,73,89,74,missed homework frequently -10,C
461371,Steve Smith,92,69,81,missed homework frequently -10,C
9f7f44,Christopher Anderson,59,60,92,missed class frequently -10,D
24cfc2,Bruce Stewart,74,85,83,missed homework frequently -10,C
2383a2,Amanda Williams,80,69,70,missed homework frequently -10,D
a5a46a,Henry Brown,88,92,88,great final presentation +10,B
7e73d6,Thomas Scott,94,115,90,great participation +10,A
cb9258,Joyce Kelly,79,86,84,great participation +10,A
b54c36,Billy Cox,68,92,89,missed homework frequently -10,B
f60864,Debra Torres,82,85,92,great final presentation +10,B
f25629,Russell Mitchell,94,85,70,missed class frequently -10,C
b34a12,Nicole Kelly,4,73,82,"cheated on exam, gets 0pts",F
61e807,Janet Walker,82,71,83,missed homework frequently -10,C
4591b4,Craig Morris,82,81,91,great participation +10,D
fe27ba,Jean Hernandez,87,91,91,great final presentation +10,A
0909cb,Larry Washington,84,90,87,great participation +10,D
cba083,Karen Collins,82,87,71,missed homework frequently -10,C
eae349,Jesse Simmons,2,78,74,"cheated on exam, gets 0pts",F
b477ac,Nicholas Harris,3,70,67,"cheated on exam, gets 0pts",F
f71050,Billy Wright,86,84,85,great participation +10,A
7dc5af,Andrea Cooper,74,67,91,great participation +10,B
9b3382,Juan Bryant,72,65,101,missed class frequently -10,D
45234d,Rachel Sanders,86,90,58,missed homework frequently -10,C
cceb42,Catherine Lee,3,92,93,"cheated on exam, gets 0pts",D
a40e3e,Judy Stewart,92,78,58,missed homework frequently -10,C
6b74a4,Ryan Reed,81,72,94,great final presentation +10,B
6d97c0,Patricia Allen,85,88,80,missed homework frequently -10,C
71a93a,Chris Watson,96,74,81,missed homework frequently -10,C
b4a1fe,Amanda James,73,82,80,missed homework frequently -10,B
6b6ec4,Judith Lopez,78,78,89,great participation +10,B
347d55,Donald Flores,63,85,75,great final presentation +10,C
80b500,Mary Gonzalez,81,82,81,missed class frequently -10,C
d6d208,Robert Nelson,94,93,82,missed homework frequently -10,B
9c1e86,Eugene Ramirez,87,84,82,missed homework frequently -10,C
50bebd,Linda Thompson,77,81,78,missed homework frequently -10,C
b4d929,Timothy Turner,91,65,62,missed class frequently -10,D
6b1427,Harry Diaz,82,81,78,missed homework frequently -10,B
0c44f9,Betty Baker,80,75,75,great participation +10,B
c3875c,Kevin Brooks,70,76,82,missed homework frequently -10,C
4a3475,Jimmy Taylor,91,92,91,great final presentation +10,A
fe8fea,Stephanie Williams,82,85,85,missed homework frequently -10,C
71fc7a,Douglas Gonzales,62,83,71,missed class frequently -10,A
dc4e28,Christine Gray,82,73,89,great participation +10,B
ddd0ba,Paula Powell,70,83,82,great final presentation +10,F
2bd759,Jennifer Wood,87,82,87,great participation +10,A
94e777,Ernest Richardson,91,71,56,missed homework frequently -10,C
17b236,Shirley Perez,90,84,65,missed class frequently -10,C
c787f8,Joshua Bell,69,85,77,missed homework frequently -10,C
1fa9cb,Sara Rivera,89,93,77,missed class frequently -10,B
cbd44f,Henry Jackson,88,81,89,great participation +10,A
acd7e9,Diane Edwards,75,6,64,"cheated on exam, gets 0pts",F
dcf360,Thomas Russell,88,84,93,great final presentation +10,A
088de7,Aaron Clark,85,88,75,missed homework frequently -10,B
6c4ef2,Jessica King,94,104,90,great final presentation +10,A
2ac30c,Christopher Rodriguez,83,84,85,missed class frequently -10,C
7554ac,Randy Wilson,90,90,87,missed homework frequently -10,C
9d6277,Joan Smith,4,70,78,"cheated on exam, gets 0pts",F
1d4586,David Davis,95,82,90,great participation +10,A
177a10,Amy Sanchez,81,95,91,missed homework frequently -10,D
63e008,Angela Garcia,82,0,74,"cheated on exam, gets 0pts",F
b2cf57,Melissa Griffin,86,86,79,missed class frequently -10,C
8fc6a3,Marie Ross,70,72,68,missed homework frequently -10,D
5b2c55,John Foster,97,81,89,great final presentation +10,A
9ae20c,Laura Campbell,87,68,76,missed homework frequently -10,C
014d82,Beverly Johnson,74,87,85,missed class frequently -10,B
a7a562,Brian Carter,8,66,81,"cheated on exam, gets 0pts",F
714b09,Mildred Murphy,81,89,86,great participation +10,A
b81c7f,Julia Alexander,11,75,88,"cheated on exam, gets 0pts",F
dbbcb7,Alice Cox,81,94,77,missed class frequently -10,C
5458de,Philip Robinson,85,83,87,great participation +10,A
bf5e17,Clarence Price,73,92,89,great participation +10,B
e60eb1,Adam Torres,95,95,94,"cheated on exam, gets 0pts",A
299f65,Barbara Bailey,71,62,94,missed homework frequently -10,C
fc6b2d,Patrick Bennett,81,73,79,missed homework frequently -10,C
37fd76,Bobby Hall,82,80,76,missed homework frequently -10,D
4b1dcc,Ashley Rogers,86,79,85,great final presentation +10,A
b20f6d,Martin Parker,93,93,86,missed homework frequently -10,B
0a2b7a,Martha Butler,87,86,93,great final presentation +10,A
e01ea5,Gerald Phillips,90,88,87,great final presentation +10,B
af3867,Rose Coleman,80,78,73,missed class frequently -10,B
ba0f30,Andrew Hughes,85,7,95,"cheated on exam, gets 0pts",B
ab8a1c,Cynthia Hill,90,86,88,great final presentation +10,A
c8cb74,Peter Evans,94,83,85,great final presentation +10,B
7b905c,Stephen Howard,89,92,82,missed class frequently -10,B
7e47d0,Frances Patterson,84,88,78,missed class frequently -10,C
198918,Christina Thomas,94,81,88,great participation +10,A
018915,Keith Anderson,100,82,86,great participation +10,A
e4742f,Johnny Ward,79,61,87,great participation +10,B
d6cb52,Debra Adams,89,9,90,"cheated on exam, gets 0pts",D
bcbe7b,Phyllis Scott,78,1,73,"cheated on exam, gets 0pts",F
e2614a,Evelyn Miller,67,85,78,missed homework frequently -10,C
fa2fd9,Elizabeth Morgan,62,72,84,missed homework frequently -10,C
a3d6f5,Frank Jenkins,81,87,94,great final presentation +10,A
cbaab2,Gregory Green,83,88,89,great final presentation +10,B
567b3d,Louise Martinez,79,83,76,missed homework frequently -10,B
939231,Pamela Peterson,75,72,94,missed homework frequently -10,F
6ec3d7,Walter Henderson,93,77,77,missed homework frequently -10,C
614fd6,Susan Cook,82,90,83,great participation +10,B
7d8853,Sharon White,83,87,93,great final presentation +10,B
0d0ab1,Willie Brown,88,81,94,great participation +10,A
6b356b,Jeffrey Roberts,78,93,89,great final presentation +10,A
fc3a83,Daniel Lewis,93,85,91,great final presentation +10,B
bf4deb,Carolyn Young,77,82,76,missed homework frequently -10,B
cbcebf,Lillian Martin,60,65,74,missed homework frequently -10,C
af76a4,Anna Barnes,82,61,69,missed class frequently -10,D
f2be6b,Eric Moore,-2,75,77,"cheated on exam, gets 0pts",F
913048,Brandon Perry,90,82,93,great final presentation +10,A
4a3f75,Steve Long,87,88,86,missed homework frequently -10,C
2254d6,Michelle Jones,76,1,73,"cheated on exam, gets 0pts",F
be7541,Laura Copeland,104,94,91,great final presentation +10,A
60561a,Silvia Tucker,75,78,72,missed class frequently -10,D
1aad87,Jesus Grant,73,88,74,missed homework frequently -10,C
612ebd,Ora Rios,76,86,80,missed homework frequently -10,C
196f78,Cathy Weber,94,7,93,"cheated on exam, gets 0pts",D
fcdf1a,Aaron Taylor,83,89,91,missed homework frequently -10,C
9c94ca,Jesse Goodwin,85,0,88,"cheated on exam, gets 0pts",D
bb13f4,Micheal Campbell,74,73,83,great participation +10,C
967af6,Christina Marshall,83,85,64,missed class frequently -10,C
343dd3,Van Mckinney,74,79,89,missed homework frequently -10,C
134233,Samantha Webb,72,68,90,great participation +10,B
ddb65f,Bernadette Higgins,72,90,89,great participation +10,B
7cb11e,Doyle Long,78,83,82,missed homework frequently -10,C
404534,Randy Hicks,75,82,59,missed homework frequently -10,C
904506,Marcia Alvarado,82,89,84,great final presentation +10,B
f4df5d,Curtis Nelson,90,81,88,great final presentation +10,A
59bb90,Janice Cummings,81,82,86,great final presentation +10,A
9d5445,Franklin Dennis,78,83,88,great final presentation +10,A
436bd4,Tanya Sims,81,87,82,missed class frequently -10,C
6b1ead,Jackie Gutierrez,91,88,84,great participation +10,A
087345,Roberta Greer,77,75,70,missed homework frequently -10,C
6fd557,Bridget Hunt,93,97,91,great final presentation +10,A
cc4821,Gerard Sandoval,91,83,93,great participation +10,A
8576b8,Byron Lowe,78,71,73,missed homework frequently -10,D
e08025,Dwight Lawson,82,66,66,missed homework frequently -10,D
21baf3,Gilberto Gill,78,74,85,missed class frequently -10,D
d4db34,Saul Snyder,86,86,87,great participation +10,A
cf31cf,Sheldon Gardner,93,89,80,great final presentation +10,B
e4f0d5,Terrance Myers,82,82,84,missed class frequently -10,C
a6e753,Mae Nash,88,82,87,great final presentation +10,B
ed82ec,Sherman Stevens,74,-1,73,"cheated on exam, gets 0pts",F
7a68f0,Marta Saunders,89,85,87,missed class frequently -10,C
0859ef,Alfredo Lynch,6,60,85,"cheated on exam, gets 0pts",F
5b2d9a,Anne Walker,88,87,88,missed homework frequently -10,B
97335b,Kelly Jackson,71,67,72,missed class frequently -10,D
18669e,Luther Brock,92,86,93,great participation +10,A
7c18ad,Allison Walton,88,84,81,missed homework frequently -10,B
77432b,Deanna Silva,0,74,76,"cheated on exam, gets 0pts",F
82c1fc,Amanda Bowen,95,91,86,great final presentation +10,B
a9729d,Jan Bryan,67,81,76,missed homework frequently -10,C
558a4b,Irma Sanders,45,60,40,missed homework frequently -10,F
22957d,Neal Carter,77,82,79,missed homework frequently -10,C
85a914,Mathew Newton,97,88,93,great final presentation +10,A
5e2cb8,Cedric Nunez,86,26,91,"cheated on exam, gets 0pts",D
ed1807,Nellie Evans,67,76,77,missed class frequently -10,C
a1b3da,Wilma Bishop,83,78,85,missed class frequently -10,C
8dfc49,Terri Moran,82,86,86,great final presentation +10,B
f7a71f,Melanie Hart,82,87,93,great participation +10,A
1a77e5,Sammy Hodges,6,81,81,"cheated on exam, gets 0pts",F
3a0e8a,Clyde Lamb,85,86,90,great final presentation +10,A
eb6d03,Jason Morgan,90,90,78,missed homework frequently -10,B
1f6c26,Roland Brady,79,82,92,missed homework frequently -10,C
17e0c2,Pearl Padilla,86,85,54,missed homework frequently -10,C
070561,Howard Burton,91,88,86,great participation +10,A
604e66,Seth Lambert,75,75,71,missed class frequently -10,D
7efafe,Wade Klein,77,88,60,missed homework frequently -10,C
8e6d24,Tasha Palmer,89,86,87,great participation +10,A
